[Header Info Signal 1 COLT 3.0]
"champor_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  17:51    ,210420_Ring21_liq_sync.M,7
"methyldecane_2 TIC",125557,14.584,0.00
"methyldecane_2 EIC",39395,14.581,0.00
"RI_1019_unknown_monoterpene TIC",30270,14.792,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",12108,15.049,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",57333,15.122,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",72405,15.135,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",886537,15.618,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",522869,15.621,0.00
"sabinene_hydrate_E TIC",2030828,15.816,0.00
"sabinene_hydrate_E EIC",97149,15.822,0.00
"sabinene_hydrate_E SIM",1654954,15.624,0.00
"acetophenone TIC",232586,15.894,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",296745,16.376,0.00
"nonanal EIC",443240,16.296,0.00
"RI_1118_unknown TIC",609846,16.498,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",839073,16.498,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",1155913,16.653,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",1268605,17.270,0.00
"champhor EIC",160249,17.269,0.00
"borneol TIC",241621,17.668,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",255691,17.932,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",612402,17.930,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",5382717,18.955,0.00
"RI_1302_unknown TIC",1308445,19.345,0.00
"RI_1312_unknown TIC",318811,19.476,0.00
"1-Bromo-Decane TIC",104490,20.085,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",360666,20.258,0.00
"RI_1365_unknown_sequiterpene EIC",383070,20.259,0.00
"RI_1365_unknown_sequiterpene SIM",439105,20.261,0.00
"RI_1374_unknown_sesquiterpene TIC",1588043,20.259,0.00
"RI_1374_unknown_sesquiterpene",401119,20.259,0.00
"RI_1374_unknown_sesquiterpene SIM",476674,20.261,0.00
"RI_1386_unknown_sesquiterpene TIC",3077028,20.425,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene EIC",9168233,20.634,0.00
"RI_1404_unknown_sesquiterpene SIM",11735595,20.635,0.00
"RI_1414_unknown_sesquiterpene TIC",943857,20.881,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",418178689,21.350,0.00
"caryophyllene_b EIC",32993635,21.350,0.00
"caryophyllene_b SIM",44316032,21.352,0.00
"RI_1504_unknown_sesquiterpene TIC",778544,22.046,0.00
"RI_1504_unknown_sesquiterpene EIC",421590,21.998,0.00
"RI_1504_unknown_sesquiterpene SIM",674453,21.997,0.00
"RI_1514_unknown TIC",1720585,22.119,0.00
"RI_1514_unknown EIC",689066,22.262,0.00
"RI_1520_unknown_sesquiterpene TIC",3055185,22.270,0.00
"RI_1520_unknown_sesquiterpene EIC",54525,22.304,0.00
"RI_1520_unknown_sesquiterpene SIM",61806,22.372,0.00
"RI_1536_unknown TIC",4555168,22.491,0.00
"RI_1536_unknown EIC",78965,22.376,0.00
"farnesen_a TIC",1256254,22.622,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"caryophyll_b_std_100_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\",[GC],0
27 Apr 2021   1:19    ,210420_Ring21_liq_sync.M,9
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"caryophyll_b_std_100_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\"
27 Apr 2021   1:19    ,210420_Ring21_liq_sync.M,9
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",183467,13.305,0.00
"pinene_a SIM",198218,13.307,0.00
"RI_960_unknown_monoterpene TIC",18452,13.698,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",69312,13.698,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",322818,13.928,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",7534,14.202,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",17949,14.202,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",0,0.000,0.00
"decane EIC",7145,14.467,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",16886,14.467,0.00
"methyldecane_2 TIC",127398,14.587,0.00
"methyldecane_2 EIC",16853,14.591,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",20463,14.960,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",19816,15.129,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",25621,15.185,0.00
"eucalyptol TIC",76554,15.196,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",58646,15.185,0.00
"RI_1066_unknown_monoterpen TIC",0,0.000,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",324252,15.638,0.00
"sabinene_hydrate_E TIC",1911571,15.816,0.00
"sabinene_hydrate_E EIC",104453,15.822,0.00
"sabinene_hydrate_E SIM",1580557,15.640,0.00
"acetophenone TIC",189320,15.896,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",286186,16.379,0.00
"nonanal EIC",456498,16.297,0.00
"RI_1118_unknown TIC",702829,16.499,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",705465,16.507,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",969062,16.654,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",215281,17.677,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",66199,17.948,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",381296,17.949,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",5263525,18.956,0.00
"RI_1302_unknown TIC",1011229,19.349,0.00
"RI_1312_unknown TIC",294888,19.477,0.00
"1-Bromo-Decane TIC",239774,20.084,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",334336,20.260,0.00
"RI_1365_unknown_sequiterpene EIC",361494,20.261,0.00
"RI_1365_unknown_sequiterpene SIM",393621,20.262,0.00
"RI_1374_unknown_sesquiterpene TIC",1445120,20.260,0.00
"RI_1374_unknown_sesquiterpene",371018,20.261,0.00
"RI_1374_unknown_sesquiterpene SIM",437341,20.262,0.00
"RI_1386_unknown_sesquiterpene TIC",3368619,20.425,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene EIC",8458398,20.635,0.00
"RI_1404_unknown_sesquiterpene SIM",10807242,20.635,0.00
"RI_1414_unknown_sesquiterpene TIC",413356,20.883,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",432475630,21.350,0.00
"caryophyllene_b EIC",33976169,21.350,0.00
"caryophyllene_b SIM",45785287,21.352,0.00
"RI_1504_unknown_sesquiterpene TIC",858905,22.056,0.00
"RI_1504_unknown_sesquiterpene EIC",344493,21.998,0.00
"RI_1504_unknown_sesquiterpene SIM",569273,21.997,0.00
"RI_1514_unknown TIC",331540,22.129,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",-70588,22.238,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",45222,22.372,0.00
"RI_1536_unknown TIC",4796730,22.506,0.00
"RI_1536_unknown EIC",51090,22.369,0.00
"farnesen_a TIC",850147,22.638,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"caryophyll_b_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\",[GC],0
26 Apr 2021  19:11    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"caryophyll_b_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\"
26 Apr 2021  19:11    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",35320,13.309,0.00
"pinene_a SIM",38140,13.309,0.00
"RI_960_unknown_monoterpene TIC",19050,13.704,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",48951,13.704,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",1162001,13.929,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",0,0.000,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",18141,14.525,0.00
"methyldecane_2 TIC",124564,14.586,0.00
"methyldecane_2 EIC",24953,14.571,0.00
"RI_1019_unknown_monoterpene TIC",27962,14.749,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",40304,15.116,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",492794,15.632,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",363251,15.630,0.00
"sabinene_hydrate_E TIC",1457882,15.815,0.00
"sabinene_hydrate_E EIC",62052,15.821,0.00
"sabinene_hydrate_E SIM",1584226,15.634,0.00
"acetophenone TIC",1628489,15.815,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",327600,16.377,0.00
"nonanal EIC",224666,16.298,0.00
"RI_1118_unknown TIC",866169,16.498,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",1025881,16.499,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",1092119,16.654,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",177594,17.677,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",123526,17.942,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",85123,17.968,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",1259964,18.968,0.00
"RI_1302_unknown TIC",578752,19.297,0.00
"RI_1312_unknown TIC",736603,19.383,0.00
"1-Bromo-Decane TIC",0,0.000,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",513788,20.680,0.00
"RI_1404_unknown_sesquiterpene EIC",94072,20.682,0.00
"RI_1404_unknown_sesquiterpene SIM",124421,20.682,0.00
"RI_1414_unknown_sesquiterpene TIC",13357,20.841,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",137897629,21.346,0.00
"caryophyllene_b EIC",10416139,21.346,0.00
"caryophyllene_b SIM",13692978,21.347,0.00
"RI_1504_unknown_sesquiterpene TIC",136613,22.089,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",177264,22.177,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",27412,22.196,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1536_unknown TIC",521337,22.535,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",58451,22.664,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"caryophyll_b_std_20_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\",[GC],0
26 Apr 2021  19:52    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"caryophyll_b_std_20_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\"
26 Apr 2021  19:52    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",0,0.000,0.00
"pinene_a SIM",25531,13.308,0.00
"RI_960_unknown_monoterpene TIC",1290,13.704,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",51442,13.704,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",794055,13.927,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",36331,14.036,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",32837,14.036,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",0,0.000,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",0,0.000,0.00
"methyldecane_2 TIC",71850,14.592,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",0,0.000,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",0,0.000,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",-57108,15.642,0.00
"sabinene_hydrate_E TIC",1485991,15.815,0.00
"sabinene_hydrate_E EIC",62235,15.821,0.00
"sabinene_hydrate_E SIM",1521831,15.644,0.00
"acetophenone TIC",1633561,15.815,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",287857,16.378,0.00
"nonanal EIC",238899,16.298,0.00
"RI_1118_unknown TIC",833957,16.505,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",928165,16.506,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",1023191,16.653,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",143390,17.682,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",141621,17.968,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",251617,17.968,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",1252206,18.968,0.00
"RI_1302_unknown TIC",259984,19.304,0.00
"RI_1312_unknown TIC",376507,19.441,0.00
"1-Bromo-Decane TIC",69430,20.116,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",19456,20.289,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",432918,20.682,0.00
"RI_1404_unknown_sesquiterpene EIC",89720,20.682,0.00
"RI_1404_unknown_sesquiterpene SIM",116175,20.683,0.00
"RI_1414_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",136950541,21.344,0.00
"caryophyllene_b EIC",10455666,21.344,0.00
"caryophyllene_b SIM",13690857,21.346,0.00
"RI_1504_unknown_sesquiterpene TIC",1002433,22.005,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",77109,22.200,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",23867,22.297,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1536_unknown TIC",162980,22.434,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",400545,22.710,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"caryophyll_b_std_40_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\",[GC],0
26 Apr 2021  20:33    ,210420_Ring21_liq_sync.M,6
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"caryophyll_b_std_40_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210426_cal#01a\"
26 Apr 2021  20:33    ,210420_Ring21_liq_sync.M,6
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",35046,13.304,0.00
"pinene_a SIM",39427,13.309,0.00
"RI_960_unknown_monoterpene TIC",0,0.000,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",51274,13.696,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",832408,13.928,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",66419,14.009,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",0,0.000,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",27559,14.591,0.00
"methyldecane_2 TIC",116123,14.586,0.00
"methyldecane_2 EIC",12685,14.591,0.00
"RI_1019_unknown_monoterpene TIC",16125,14.772,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",39214,14.961,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",21955,15.010,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",15710,15.177,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",2578,15.199,0.00
"eucalyptol TIC",52527,15.201,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",851495,15.618,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",537215,15.620,0.00
"sabinene_hydrate_E TIC",1825158,15.815,0.00
"sabinene_hydrate_E EIC",100893,15.822,0.00
"sabinene_hydrate_E SIM",1702496,15.623,0.00
"acetophenone TIC",203970,15.894,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",288315,16.375,0.00
"nonanal EIC",366195,16.295,0.00
"RI_1118_unknown TIC",959992,16.497,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",1036066,16.498,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",1096033,16.717,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",293655,17.670,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",179824,17.881,0.00
"dodecane EIC",31448,17.846,0.00
"methylsalicylate TIC",306289,17.932,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",200880,17.932,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",3604920,18.958,0.00
"RI_1302_unknown TIC",1882123,19.309,0.00
"RI_1312_unknown TIC",793263,19.486,0.00
"1-Bromo-Decane TIC",209541,20.081,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",77822,20.208,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",27009,20.319,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",855857,20.674,0.00
"RI_1404_unknown_sesquiterpene EIC",223568,20.674,0.00
"RI_1404_unknown_sesquiterpene SIM",315448,20.676,0.00
"RI_1414_unknown_sesquiterpene TIC",165075,20.840,0.00
